entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2022-09-18 10:15:00,19979.1,2022-09-18 14:15:00,19897.4,-81.7,489629.8299999995,389629.8299999995
2022-09-18 14:30:00,19830.2,2022-09-19 02:15:00,18788.16,1042.04,490671.8699999995,390671.8699999995
2022-09-19 10:15:00,18542.2,2022-09-19 17:15:00,19073.3,531.1,491202.96999999945,391202.96999999945
2022-09-19 17:30:00,18955.2,2022-09-19 18:45:00,19147.9,-192.7,491010.26999999944,391010.26999999944
2022-09-19 19:00:00,19360.3,2022-09-20 03:00:00,19446.6,86.3,491096.5699999994,391096.5699999994
2022-09-20 03:15:00,19199.7,2022-09-20 06:45:00,19373.0,-173.3,490923.26999999944,390923.26999999944
2022-09-20 07:00:00,19496.0,2022-09-20 08:45:00,19295.0,-201.0,490722.26999999944,390722.26999999944
2022-09-20 09:00:00,19286.8,2022-09-20 14:45:00,19061.3,225.5,490947.76999999944,390947.76999999944
2022-09-20 15:00:00,19112.8,2022-09-20 17:15:00,18941.5,-171.3,490776.46999999945,390776.46999999945
2022-09-20 17:30:00,18852.9,2022-09-20 21:00:00,18956.4,-103.5,490672.96999999945,390672.96999999945
2022-09-20 21:15:00,19035.0,2022-09-21 05:45:00,18914.8,-120.2,490552.76999999944,390552.76999999944
2022-09-21 06:00:00,18893.5,2022-09-21 09:45:00,18988.8,-95.3,490457.46999999945,390457.46999999945
2022-09-21 10:00:00,18995.5,2022-09-21 14:45:00,19245.5,250.0,490707.46999999945,390707.46999999945
2022-09-21 15:00:00,19160.0,2022-09-21 17:15:00,19289.3,-129.3,490578.16999999946,390578.16999999946
2022-09-21 17:30:00,19485.5,2022-09-21 18:00:00,18859.8,-785.13,489793.03999999946,389793.03999999946
2022-09-21 18:15:00,19048.5,2022-09-22 02:15:00,18499.6,548.9,490341.9399999995,390341.9399999995
2022-09-22 02:30:00,18589.9,2022-09-22 13:30:00,18984.6,394.7,490736.6399999995,390736.6399999995
2022-09-22 13:45:00,18893.2,2022-09-22 18:30:00,19100.0,-206.8,490529.8399999995,390529.8399999995
2022-09-22 18:45:00,19185.6,2022-09-22 21:15:00,19179.4,-6.2,490523.6399999995,390523.6399999995
2022-09-22 21:30:00,19157.9,2022-09-22 22:45:00,19387.0,-229.1,490294.5399999995,390294.5399999995
2022-09-22 23:00:00,19467.5,2022-09-23 06:45:00,19323.5,-144.0,490150.5399999995,390150.5399999995
2022-09-23 07:00:00,19266.6,2022-09-23 19:45:00,18798.7,467.9,490618.43999999954,390618.43999999954
2022-09-23 20:00:00,18867.7,2022-09-24 01:45:00,19110.1,242.4,490860.83999999956,390860.83999999956
2022-09-24 02:00:00,19096.0,2022-09-24 12:15:00,19062.3,33.7,490894.5399999996,390894.5399999996
2022-09-24 12:30:00,19169.6,2022-09-24 21:00:00,19094.0,-75.6,490818.9399999996,390818.9399999996
